,0,weight,size
59757,Plissee_20,0.77,52.7
45605,Plissee_20,0.77,41.0
82608,Plissee_20,0.77,51.8
3985,Plissee_20,0.77,70.7
55729,Plissee_20,0.77,33.0
88019,Plissee_20,0.77,55.8
22698,Plissee_20,0.77,96.8
29366,Plissee_20,0.77,63.0
23777,Plissee_20,0.77,55.5
18922,Plissee_20,0.77,72.0
26751,Plissee_wa,0.77,39.0
81505,Reparatur,0.77,99.9
82334,Plissee_20,0.77,35.0
68612,Plissee_20,0.77,71.7
14655,Plissee_20,0.77,85.7
32990,Rollo,0.77,54.6
73588,Fvorhang,0.77,50.0
36458,Plissee_20,0.77,34.7
59290,Plissee_20,0.77,58.6
28529,Plissee_20,0.77,68.2
49266,Plissee_20,0.77,50.5
36678,Plissee_20,0.77,73.0
74538,Plissee_20,0.78,62.5
13730,Plissee_20,0.78,55.7
142,Plissee_20,0.78,60.7
65234,Plissee_20,0.78,52.0
48268,Plissee_20,0.78,60.8
85357,Plissee_20,0.78,28.9
38724,Plissee_20,0.78,35.0
33108,Plissee_20,0.78,71.7
50369,Plissee_20,0.78,59.3
92513,Rollo,0.78,44.0
41211,Reparatur,0.78,46.0
39616,Plissee_20,0.78,46.2
24447,Plissee_20,0.78,55.7
13517,Plissee_20,0.78,87.1
60633,Plissee_20,0.78,50.7
36339,Rollo,0.78,48.5
52023,Plissee_20,0.78,58.0
85775,Plissee_20,0.78,55.0
85747,Plissee_20,0.78,59.7
56683,Rollo,0.78,60.0
46907,Plissee_20,0.78,43.0
22832,Plissee_20,0.78,49.7
37949,Plissee_wa,0.78,56.4
73942,Plissee_wa,0.78,38.3
87584,Rollo,0.78,46.4
5435,Plissee_20,0.78,58.0
5518,Plissee_20,0.78,65.0
75242,Plissee_20,0.78,63.2
54615,Plissee_wa,0.78,42.7
79521,Plissee_20,0.78,52.0
53182,Plissee_20,0.78,75.0
33189,Rollo,0.78,57.0
4551,Reparatur,0.78,67.5
19633,Plissee_20,0.78,71.7
38684,Rollo,0.78,52.0
57732,Plissee_wa,0.78,50.7
25969,Plissee_20,0.78,60.5
13602,Plissee_20,0.78,76.0
55866,Plissee_20,0.78,34.6
42293,Plissee_20,0.78,68.5
90137,Plissee_20,0.78,35.5
69435,Plissee_20,0.78,56.1
21239,Plissee_20,0.78,62.7
81281,Plissee_20,0.78,60.5
23526,Reparatur,0.78,49.5
62880,Plissee_wa,0.78,51.4
55591,Plissee_20,0.78,52.0
86849,Reparatur,0.78,99.9
13264,Plissee_20,0.78,67.5
56241,Plissee_20,0.78,29.5
25932,Plissee_20,0.78,63.0
20546,Plissee_20,0.78,61.5
41393,Plissee_20,0.78,72.2
85621,Plissee_20,0.78,56.0
45608,Plissee_20,0.78,60.0
64871,Plissee_20,0.78,31.8
47607,Plissee_wa,0.78,47.2
44770,Fvorhang,0.78,58.5
18304,Plissee_wa,0.78,72.7
18308,Plissee_20,0.78,38.2
25133,Plissee_20,0.78,37.8
61368,Plissee_20,0.78,62.2
63951,Plissee_20,0.78,54.2
92100,Plissee_20,0.78,60.2
73541,Plissee_20,0.78,43.2
16453,Plissee_20,0.78,57.0
12758,Reparatur,0.78,99.9
14921,Plissee_20,0.78,71.2
34796,Plissee_20,0.78,51.4
49577,Plissee_20,0.78,72.0
69894,Reparatur,0.78,60.5
19967,Plissee_20,0.78,67.7
47438,Plissee_20,0.78,58.0
76123,Plissee_20,0.78,59.6
34224,Plissee_20,0.78,63.5
67703,Rollo,0.78,42.0
58731,Plissee_20,0.78,36.8
31086,Plissee_20,0.78,71.0
15235,Plissee_20,0.78,66.7
45891,Rollo,0.78,50.0
55834,Plissee_wa,0.78,41.0
55667,Reparatur,0.78,52.5
48107,Plissee_20,0.78,66.5
15200,Plissee_20,0.78,70.2
83187,Fvorhang,0.78,60.0
83142,Plissee_wa,0.78,16.6
25295,Plissee_20,0.78,60.9
25312,Plissee_20,0.78,69.5
67864,Plissee_20,0.78,46.5
80325,Fvorhang,0.78,45.0
29355,Plissee_20,0.78,60.2
76766,Reparatur,0.78,99.9
31384,Plissee_20,0.78,80.2
64511,Plissee_20,0.78,68.7
4982,Plissee_wa,0.78,60.0
14513,Plissee_20,0.78,34.8
19148,Plissee_20,0.78,60.2
9227,Plissee_20,0.78,68.7
50664,Plissee_20,0.78,52.5
20019,Plissee_20,0.78,63.7
50655,Plissee_20,0.78,57.7
91690,Plissee_20,0.78,56.6
21016,Plissee_20,0.78,63.7
80081,Plissee_20,0.78,122.5
24606,Plissee_20,0.78,85.0
51537,Plissee_20,0.78,49.6
28230,Plissee_20,0.78,59.7
24705,Plissee_20,0.78,72.2
89028,Plissee_20,0.78,81.7
26573,Plissee_20,0.78,60.0
11446,Plissee_wa,0.78,63.7
62209,Plissee_20,0.78,56.5
57391,Plissee_20,0.78,52.0
70171,Rollo,0.78,49.0
83111,Plissee_wa,0.78,25.2
76187,Plissee_20,0.78,50.5
51767,Plissee_20,0.78,63.3
13000,Plissee_20,0.78,66.0
57286,Plissee_20,0.78,45.0
22119,Plissee_20,0.78,62.2
13294,Plissee_20,0.78,59.5
31725,Plissee_20,0.78,59.0
25759,Fvorhang,0.78,52.0
26436,Rollo,0.78,50.1
38183,Plissee_20,0.78,61.0
17719,Plissee_20,0.78,72.2
53768,Reparatur,0.78,56.4
20255,Plissee_20,0.78,71.8
36855,Plissee_20,0.78,57.7
84656,Plissee_20,0.78,37.0
15399,Plissee_wa,0.78,70.5
85505,Fvorhang,0.78,62.0
9909,Plissee_20,0.78,36.7
9752,Plissee_20,0.78,64.2
44641,Plissee_20,0.78,44.8
81427,Plissee_20,0.78,62.6
12309,Plissee_20,0.78,30.0
26852,Plissee_20,0.78,63.2
40276,Plissee_wa,0.78,59.5
48894,Plissee_wa,0.78,46.0
35185,Plissee_20,0.78,37.1
28665,Plissee_20,0.78,51.5
27866,Plissee_20,0.78,39.4
65655,Rollo,0.78,60.0
59522,Plissee_20,0.78,52.8
27615,Plissee_20,0.78,65.7
15572,Rollo,0.78,51.0
54979,Plissee_20,0.78,32.2
50920,Plissee_20,0.78,83.1
77009,Plissee_20,0.78,62.0
6335,Plissee_20,0.78,34.7
79834,Plissee_20,0.78,64.8
50968,Plissee_20,0.78,34.5
13475,Plissee_20,0.78,53.5
14249,Plissee_20,0.78,60.7
82695,Plissee_20,0.78,50.7
6476,Plissee_20,0.78,60.2
20299,Plissee_20,0.78,71.5
17518,Plissee_20,0.78,69.7
81930,Plissee_20,0.78,62.0
85577,Plissee_20,0.78,59.2
85581,Reparatur,0.78,33.4
86119,Plissee_20,0.78,55.5
4854,Plissee_20,0.78,49.7
32358,Plissee_20,0.78,56.5
74733,Plissee_20,0.78,73.8
50809,Plissee_20,0.78,51.2
63653,Plissee_20,0.78,38.1
74510,Plissee_20,0.78,58.5
19614,Plissee_20,0.78,71.2
80100,Fvorhang,0.78,50.0
7049,Plissee_20,0.78,73.2
62691,Reparatur,0.78,99.9
49849,Plissee_20,0.78,69.0
65101,Rollo,0.78,59.0
36539,Plissee_20,0.78,63.0
18920,Plissee_20,0.78,55.0
2179,Plissee_20,0.78,69.4
20262,Plissee_20,0.78,73.5
1223,Plissee_20,0.78,69.2
18221,Reparatur,0.78,99.9
40681,Fvorhang,0.78,75.0
13732,Plissee_20,0.79,38.5
92630,Plissee_20,0.79,51.0
80279,Plissee_20,0.79,51.3
53192,Plissee_20,0.79,76.0
36461,Plissee_wa,0.79,48.1
23746,Plissee_20,0.79,60.0
16726,Plissee_20,0.79,26.4
16665,Pruefung,0.79,99.9
77802,Plissee_20,0.79,58.4
88279,Plissee_20,0.79,45.5
14880,Plissee_20,0.79,30.2
46065,Plissee_20,0.79,65.5
80756,Plissee_20,0.79,56.0
42923,Plissee_20,0.79,85.0
10343,Plissee_20,0.79,73.7
74707,Plissee_20,0.79,63.6
28507,Plissee_20,0.79,66.2
83979,Plissee_20,0.79,55.5
88387,Plissee_20,0.79,50.0
63094,Plissee_20,0.79,62.2
72176,Plissee_20,0.79,52.7
65139,Rollo,0.79,47.5
10694,Plissee_20,0.79,44.0
6340,Plissee_20,0.79,53.2
38286,Plissee_20,0.79,60.0
11736,Plissee_20,0.79,38.2
31126,Plissee_20,0.79,59.0
35241,Plissee_20,0.79,49.6
71128,Plissee_20,0.79,60.5
61764,Plissee_wa,0.79,29.8
3764,Fvorhang,0.79,50.0
53661,Plissee_20,0.79,62.0
5228,Fvorhang,0.79,60.0
27719,Plissee_20,0.79,69.0
83282,Plissee_20,0.79,54.0
7332,Plissee_20,0.79,60.0
9860,Plissee_20,0.79,71.5
59095,Plissee_20,0.79,33.2
85835,Rollo,0.79,80.0
88573,Plissee_20,0.79,32.8
91397,Fvorhang,0.79,50.0
16472,Plissee_20,0.79,71.7
30291,Rollo,0.79,83.8
8208,Plissee_20,0.79,70.0
13074,Plissee_20,0.79,38.5
63171,Rollo,0.79,49.3
72548,Reparatur,0.79,99.9
48471,Plissee_20,0.79,56.3
67849,Fvorhang,0.79,72.0
67855,Plissee_20,0.79,58.7
41027,Plissee_20,0.79,62.3
74646,Plissee_20,0.79,58.5
21809,Reparatur,0.79,99.9
64184,Plissee_20,0.79,63.0
28999,Rollo,0.79,59.0
65645,Plissee_20,0.79,68.3
51425,Plissee_20,0.79,37.5
86505,Plissee_20,0.79,64.5
31438,Plissee_20,0.79,68.0
23076,Plissee_20,0.79,67.7
37464,Plissee_20,0.79,79.0
64211,Plissee_20,0.79,70.0
79244,Plissee_20,0.79,55.5
79248,Reparatur,0.79,99.9
79257,Plissee_20,0.79,59.5
24690,Plissee_20,0.79,73.2
11468,Plissee_20,0.79,73.7
26243,Plissee_20,0.79,72.5
46068,Plissee_20,0.79,51.1
6012,Plissee_20,0.79,28.0
30759,Plissee_20,0.79,40.3
36208,Inschutz,0.79,81.0
48091,Plissee_wa,0.79,44.7
68688,Rollo,0.79,74.4
41322,Plissee_20,0.79,84.3
10627,Plissee_20,0.79,68.2
75770,Plissee_20,0.79,64.5
6965,Plissee_20,0.79,53.0
14817,Plissee_wa,0.79,71.7
50361,Plissee_20,0.79,56.5
83846,Plissee_20,0.79,69.0
30809,Rollo,0.79,106.7
16765,Plissee_20,0.79,35.3
61390,Plissee_20,0.79,57.6
42289,Plissee_20,0.79,85.7
46017,Plissee_20,0.79,70.8
43457,Endkappen,0.79,93.9
51642,Plissee_20,0.79,56.3
10814,Plissee_20,0.79,69.9
67793,Plissee_20,0.79,63.5
21862,Plissee_20,0.79,35.9
42981,Plissee_20,0.79,74.5
76365,Plissee_20,0.79,62.0
71850,Plissee_wa,0.79,46.2
49726,Plissee_20,0.79,46.0
59138,Plissee_20,0.79,21.3
17259,Plissee_20,0.79,53.1
56327,Plissee_wa,0.79,40.0
27073,Jalousie,0.79,38.0
48088,Plissee_20,0.79,51.2
66364,Plissee_20,0.79,60.7
11114,Plissee_20,0.79,66.9
34254,Fvorhang,0.79,60.0
85992,Reparatur,0.79,99.9
38620,Plissee_20,0.79,62.0
12498,Plissee_20,0.79,48.7
6497,Plissee_20,0.79,64.7
56107,Plissee_20,0.79,59.8
42956,Plissee_20,0.79,63.5
34280,Plissee_20,0.79,49.0
57041,Plissee_20,0.79,63.9
3875,Fvorhang,0.79,70.0
46736,Rollo,0.79,58.0
65992,Rollo,0.79,50.0
47959,Plissee_20,0.79,57.0
49164,Plissee_wa,0.79,49.4
39196,Plissee_20,0.79,59.6
68577,Plissee_20,0.79,46.0
55049,Plissee_20,0.79,54.2
31975,Plissee_20,0.79,48.3
51291,Plissee_20,0.79,64.7
24269,Plissee_20,0.79,71.7
27700,Plissee_20,0.79,62.4
33456,Plissee_wa,0.79,43.0
70135,Plissee_20,0.79,61.7
39950,Plissee_20,0.79,53.1
80554,Plissee_20,0.79,61.7
65817,Plissee_wa,0.79,55.3
39756,Plissee_20,0.79,74.3
2963,Plissee_20,0.79,71.0
53037,Plissee_20,0.79,64.2
60238,Plissee_wa,0.79,51.3
49609,Plissee_wa,0.79,60.8
29815,Plissee_20,0.79,54.2
61581,Plissee_20,0.79,60.2
8698,Plissee_20,0.79,30.0
19557,Plissee_20,0.79,71.7
79020,Plissee_20,0.79,58.0
39790,Plissee_wa,0.79,56.0
41158,Plissee_20,0.79,47.7
71569,Plissee_20,0.79,57.2
61282,Plissee_20,0.79,64.7
87134,Plissee_20,0.79,57.0
31211,Plissee_wa,0.79,48.0
13290,Plissee_20,0.79,56.4
30721,Plissee_20,0.79,44.5
21107,Plissee_20,0.79,37.0
22767,Reparatur,0.79,63.2
54553,Plissee_20,0.79,68.3
72290,Plissee_20,0.79,55.0
8901,Plissee_20,0.79,45.7
5326,Plissee_20,0.79,52.0
4155,Plissee_20,0.79,69.7
45684,Plissee_20,0.79,48.7
10593,Reparatur,0.79,52.8
28380,Plissee_20,0.79,74.0
5602,Reparatur,0.79,60.0
72629,Plissee_20,0.79,67.7
50491,Plissee_wa,0.79,54.7
84119,Plissee_wa,0.79,58.1
19585,Plissee_20,0.79,71.0
11254,Plissee_20,0.79,40.5
62308,Plissee_20,0.79,56.3
12050,Plissee_wa,0.79,57.6
76333,Plissee_20,0.79,64.2
73892,Plissee_20,0.79,58.5
42252,Plissee_20,0.79,54.7
48760,Plissee_20,0.79,47.3
67313,Plissee_20,0.79,54.3
56819,Plissee_20,0.79,47.5
49844,Plissee_20,0.79,62.1
22524,Plissee_20,0.79,67.0
88016,Plissee_20,0.79,56.8
19287,Plissee_20,0.79,78.7
87450,Plissee_20,0.79,36.8
17905,Plissee_20,0.79,35.1
10571,Plissee_wa,0.79,49.2
68079,Plissee_wa,0.79,49.5
42106,Plissee_20,0.79,74.0
26885,Plissee_20,0.79,58.7
60577,Plissee_wa,0.79,56.2
84869,Plissee_20,0.79,45.0
45938,Plissee_wa,0.79,56.2
36432,Plissee_wa,0.79,56.2
10071,Plissee_20,0.79,51.1
40655,Plissee_20,0.79,110.2
6275,Plissee_20,0.79,55.5
18,Plissee_20,0.79,82.6
50939,Plissee_20,0.79,51.2
18225,Reparatur,0.8,99.9
8189,Plissee_20,0.8,36.3
43644,Plissee_20,0.8,62.8
37197,Rollo,0.8,62.6
36038,Plissee_20,0.8,36.7
52024,Rollo,0.8,45.6
84539,Plissee_20,0.8,59.7
8096,Plissee_20,0.8,67.7
22617,Plissee_wa,0.8,30.5
10535,Plissee_20,0.8,69.7
54945,Plissee_20,0.8,56.5
31534,Plissee_wa,0.8,63.5
91830,Plissee_20,0.8,69.0
63387,Plissee_20,0.8,61.0
24473,Reparatur,0.8,75.0
39177,Plissee_20,0.8,58.5
56198,Plissee_20,0.8,77.0
72435,Plissee_20,0.8,54.2
88552,Plissee_20,0.8,66.0
70777,Rollo,0.8,49.3
62463,Plissee_20,0.8,52.8
73057,Plissee_20,0.8,50.9
16729,Plissee_20,0.8,69.0
21407,Plissee_20,0.8,66.7
19688,Plissee_20,0.8,53.5
33101,Plissee_wa,0.8,57.0
55339,Reparatur,0.8,99.9
14891,Plissee_20,0.8,71.7
28779,Plissee_wa,0.8,49.3
61536,Plissee_20,0.8,56.5
33117,Plissee_20,0.8,64.5
27290,Plissee_20,0.8,63.9
244,Plissee_wa,0.8,56.6
2173,Plissee_20,0.8,32.4
56835,Plissee_20,0.8,32.0
66682,Plissee_20,0.8,59.2
5789,Reparatur,0.8,61.7
26053,Rollo,0.8,77.4
36858,Plissee_20,0.8,58.6
87991,Plissee_20,0.8,29.0
56631,Plissee_20,0.8,60.0
9449,Plissee_20,0.8,40.2
18287,Plissee_20,0.8,55.7
91798,Plissee_20,0.8,60.8
33057,Plissee_20,0.8,51.3
34285,Plissee_20,0.8,67.6
46078,Plissee_20,0.8,66.2
6517,Plissee_20,0.8,65.2
88028,Plissee_20,0.8,56.0
40301,Plissee_20,0.8,63.0
6985,Plissee_20,0.8,33.7
6975,Plissee_wa,0.8,63.7
51959,Plissee_20,0.8,63.3
81701,Plissee_20,0.8,28.0
32015,Plissee_20,0.8,47.0
59232,Plissee_20,0.8,52.5
80104,Plissee_20,0.8,61.0
35989,Reparatur,0.8,99.9
19584,Plissee_20,0.8,46.5
71627,Reparatur,0.8,61.5
18785,Plissee_20,0.8,69.7
75851,Fvorhang,0.8,60.0
59733,Plissee_20,0.8,86.6
73833,Plissee_wa,0.8,47.5
78859,Plissee_20,0.8,59.9
66848,Pruefung,0.8,60.0
38895,Plissee_20,0.8,35.5
45982,Plissee_20,0.8,26.7
12153,Plissee_20,0.8,78.7
17866,Fvorhang,0.8,60.0
12641,Plissee_20,0.8,70.2
19329,Fvorhang,0.8,40.0
68548,Plissee_20,0.8,37.7
46719,Plissee_20,0.8,72.7
58575,Plissee_20,0.8,58.5
15785,Plissee_20,0.8,76.5
46728,Plissee_20,0.8,70.0
76886,Plissee_20,0.8,64.4
13015,Plissee_20,0.8,45.7
69686,Plissee_20,0.8,55.4
59380,Rollo,0.8,122.1
32958,Rollo,0.8,55.0
4931,Plissee_20,0.8,28.5
25287,Plissee_20,0.8,42.5
80968,Plissee_20,0.8,54.0
64674,Reparatur,0.8,99.9
30667,Rollo,0.8,49.0
43426,Plissee_wa,0.8,82.5
80645,Plissee_20,0.8,59.9
21879,Plissee_20,0.8,31.7
88464,Plissee_20,0.8,59.3
66876,Reparatur,0.8,56.0
15115,Reparatur,0.8,70.8
6867,Plissee_20,0.8,54.5
40967,Plissee_20,0.8,48.0
30680,Plissee_20,0.8,67.7
30698,Plissee_20,0.8,46.5
76369,Plissee_20,0.8,62.0
52937,Rollo,0.8,49.4
8310,Plissee_20,0.8,62.0
59833,Rollo,0.8,51.0
29796,Plissee_20,0.8,75.1
47385,Plissee_20,0.8,52.0
65096,Rollo,0.8,49.3
49415,Plissee_20,0.8,70.0
13131,Plissee_20,0.8,80.7
76175,Plissee_20,0.8,117.4
74886,Reparatur,0.8,99.9
45689,Plissee_20,0.8,64.5
25556,Plissee_20,0.8,69.5
84557,Plissee_20,0.8,65.1
65706,Plissee_20,0.8,77.5
33734,Plissee_20,0.8,33.2
39344,Plissee_20,0.8,34.4
67766,Plissee_wa,0.8,53.0
4194,Plissee_20,0.8,67.8
15858,Plissee_20,0.8,55.7
72913,Plissee_20,0.8,50.9
91728,Rollo,0.8,49.3
7900,Reparatur,0.8,70.7
30648,Plissee_20,0.8,68.2
48831,Reparatur,0.8,99.9
90616,Plissee_20,0.8,58.6
13626,Plissee_20,0.8,72.7
82085,Plissee_20,0.8,26.8
32824,Plissee_20,0.8,57.7
88144,Plissee_20,0.8,58.5
44433,Reparatur,0.8,99.9
49752,Plissee_20,0.8,76.5
9147,Plissee_20,0.8,73.7
5263,Plissee_20,0.8,67.6
5275,Rollo,0.8,35.0
17614,Plissee_20,0.8,72.7
41404,Plissee_20,0.8,71.7
86766,Plissee_20,0.8,56.8
15485,Plissee_20,0.8,74.6
49556,Plissee_20,0.8,44.4
54262,Reparatur,0.8,67.0
1423,Plissee_20,0.8,67.0
82467,Plissee_20,0.8,59.0
7385,Plissee_wa,0.8,98.0
16106,Plissee_20,0.8,41.7
10238,Plissee_20,0.8,68.7
45784,Plissee_20,0.8,69.5
53623,Plissee_wa,0.8,45.0
12263,Plissee_20,0.8,60.3
54573,Plissee_20,0.8,62.6
31988,Plissee_20,0.8,62.0
56432,Plissee_20,0.8,54.5
92006,Plissee_20,0.8,67.8
31595,Plissee_20,0.8,79.1
9901,Plissee_20,0.8,38.7
39431,Plissee_20,0.8,53.7
29920,Plissee_20,0.8,65.8
76393,Plissee_20,0.8,62.4
1154,Plissee_20,0.8,54.0
67800,Plissee_20,0.8,62.5
7340,Plissee_wa,0.8,53.3
69915,Plissee_20,0.8,62.4
32410,Plissee_wa,0.8,60.7
28251,Plissee_wa,0.8,61.5
73590,Fvorhang,0.8,60.0
31125,Plissee_20,0.8,69.7
23102,Plissee_wa,0.8,43.0
75009,Plissee_20,0.8,71.8
65268,Plissee_20,0.8,61.0
19250,Plissee_20,0.8,37.3
8569,Plissee_20,0.8,64.0
5446,Rollo,0.8,38.2
13984,Plissee_20,0.8,69.7
90732,Plissee_20,0.8,106.7
42652,Plissee_20,0.8,64.0
51005,Plissee_wa,0.8,73.2
63463,Reparatur,0.8,99.9
47847,Plissee_20,0.8,35.0
71353,Inschutz,0.8,86.0
4004,Plissee_20,0.8,67.0
76904,Rollo,0.8,59.0
40648,Plissee_20,0.8,33.5
67896,Plissee_20,0.8,55.7
54559,Plissee_wa,0.8,117.7
14033,Plissee_20,0.8,74.4
20233,Fvorhang,0.8,30.0
77316,Plissee_20,0.8,58.0
4135,Plissee_wa,0.8,65.5
18112,Rollo,0.8,59.5
109,Plissee_20,0.8,56.0
134,Plissee_20,0.8,50.0
8047,Plissee_wa,0.8,67.0
85858,Plissee_20,0.81,44.7
84784,Plissee_20,0.81,63.5
86566,Plissee_20,0.81,59.7
75327,Plissee_20,0.81,46.0
42901,Plissee_20,0.81,66.5
23070,Plissee_20,0.81,52.4
62169,Plissee_20,0.81,44.0
5439,Plissee_20,0.81,69.6
15602,Plissee_20,0.81,37.7
31914,Plissee_wa,0.81,48.0
92497,Plissee_wa,0.81,50.0
31239,Plissee_20,0.81,74.1
47809,Plissee_20,0.81,60.3
89510,Plissee_20,0.81,65.1
45595,Reparatur,0.81,32.7
49,Plissee_20,0.81,59.5
89599,Plissee_20,0.81,57.0
63542,Plissee_20,0.81,49.0
44984,Plissee_20,0.81,41.0
63977,Plissee_20,0.81,45.5
50338,Plissee_20,0.81,48.5
4579,Plissee_20,0.81,86.4
77094,Plissee_20,0.81,72.7
1720,Plissee_20,0.81,49.8
27973,Plissee_20,0.81,68.4
3400,Plissee_20,0.81,65.5
62450,Rollo,0.81,59.0
48196,Plissee_20,0.81,54.7
77333,Plissee_20,0.81,38.0
70273,Plissee_wa,0.81,60.0
27292,Plissee_20,0.81,30.7
60176,Plissee_20,0.81,61.5
26110,Plissee_20,0.81,68.2
88413,Reparatur,0.81,70.0
75918,Plissee_20,0.81,65.5
36848,Plissee_20,0.81,69.0
36923,Plissee_20,0.81,41.0
29771,Plissee_20,0.81,83.4
57830,Plissee_20,0.81,62.0
84650,Plissee_20,0.81,76.6
89603,Plissee_20,0.81,49.0
67835,Plissee_20,0.81,62.0
10020,Reparatur,0.81,62.0
925,Plissee_20,0.81,51.5
66358,Plissee_20,0.81,71.5
78886,Plissee_wa,0.81,58.6
29250,Plissee_20,0.81,70.4
9007,Plissee_20,0.81,61.5
31292,Plissee_20,0.81,130.0
6972,Plissee_20,0.81,72.7
40312,Plissee_20,0.81,65.3
64036,Reparatur,0.81,64.5
67410,Rollo,0.81,50.0
54506,Plissee_20,0.81,65.8
30634,Rollo,0.81,51.0
56930,Plissee_20,0.81,54.5
42847,Plissee_20,0.81,63.5
1954,Plissee_wa,0.81,61.2
79047,Plissee_wa,0.81,38.6
53665,Plissee_20,0.81,59.7
54964,Plissee_20,0.81,62.3
13836,Plissee_20,0.81,61.5
8666,Plissee_20,0.81,74.7
1172,Plissee_20,0.81,35.6
85228,Rollo,0.81,46.0
17494,Plissee_20,0.81,79.0
75571,Plissee_20,0.81,56.3
19928,Plissee_20,0.81,44.0
49734,Plissee_20,0.81,72.7
20007,Plissee_20,0.81,62.2
717,Fvorhang,0.81,58.0
19979,Plissee_wa,0.81,69.7
8272,Rollo,0.81,61.0
2033,Rollo,0.81,54.0
6326,Plissee_20,0.81,73.7
46749,Plissee_20,0.81,68.0
74974,Plissee_wa,0.81,8.0
8971,Plissee_20,0.81,36.7
2728,Plissee_20,0.81,72.5
51464,Plissee_wa,0.81,60.0
15369,Plissee_20,0.81,77.0
74075,Plissee_20,0.81,61.6
49558,Plissee_20,0.81,78.0
53638,Plissee_20,0.81,59.0
82486,Pruefung,0.81,99.9
78638,Plissee_20,0.81,34.7
78645,Plissee_20,0.81,64.4
63053,Plissee_20,0.81,51.4
18511,Plissee_20,0.81,76.7
68455,Plissee_20,0.81,59.0
31766,Plissee_20,0.81,34.5
50434,Rollo,0.81,49.3
18880,Plissee_20,0.81,72.7
18680,Plissee_20,0.81,77.7
16776,Plissee_20,0.81,75.1
64639,Plissee_20,0.81,37.7
53303,Reparatur,0.81,99.9
55439,Rollo,0.81,50.7
38800,Plissee_20,0.81,70.5
71624,Fvorhang,0.81,30.0
12567,Reparatur,0.81,55.0
3541,Plissee_20,0.81,47.0
23918,Plissee_20,0.81,69.5
83814,Plissee_20,0.81,70.5
48725,Plissee_20,0.81,51.7
36093,Plissee_20,0.81,75.5
1053,Plissee_20,0.81,61.7
87634,Plissee_20,0.81,48.7
91716,Plissee_20,0.81,70.2
5523,Plissee_20,0.81,39.7
87424,Plissee_20,0.81,59.5
48843,Plissee_wa,0.81,48.7
91736,Rollo,0.81,61.3
24141,Plissee_wa,0.81,68.7
71067,Plissee_20,0.81,57.5
70652,Plissee_20,0.81,50.5
30138,Rollo,0.81,39.7
21836,Plissee_20,0.81,77.4
67780,Plissee_20,0.81,63.2
70137,Plissee_wa,0.81,61.7
54120,Plissee_20,0.81,56.5
75688,Plissee_20,0.81,58.5
12822,Plissee_20,0.81,37.8
795,Plissee_20,0.81,61.2
31413,Reparatur,0.81,61.3
66297,Plissee_20,0.81,53.5
8477,Plissee_20,0.81,37.9
75849,Fvorhang,0.81,45.0
46906,Plissee_20,0.81,44.8
12128,Plissee_20,0.81,68.0
12155,Plissee_wa,0.81,77.7
31175,Plissee_20,0.81,37.7
61555,Plissee_20,0.81,55.5
1340,Plissee_20,0.81,50.6
58583,Plissee_20,0.81,56.7
91799,Faltrollo,0.81,53.2
60760,Plissee_20,0.81,63.0
57582,Plissee_20,0.81,10.0
13409,Plissee_20,0.81,67.5
11395,Plissee_20,0.81,64.7
82133,Reparatur,0.81,99.9
74892,Plissee_20,0.81,60.0
68439,Plissee_20,0.81,40.0
31392,Plissee_wa,0.81,56.3
79034,Plissee_20,0.81,62.8
78817,Reparatur,0.81,99.9
31109,Plissee_20,0.81,69.7
87305,Reparatur,0.81,99.9
50137,Plissee_20,0.81,73.9
20858,Plissee_20,0.81,61.3
7894,Plissee_20,0.81,44.8
21663,Rollo,0.81,59.0
7311,Plissee_20,0.81,48.7
51329,Plissee_20,0.81,51.0
41764,Plissee_20,0.81,70.3
18298,Plissee_20,0.81,73.7
43995,Plissee_20,0.81,57.3
84996,Plissee_20,0.81,64.7
44805,Plissee_20,0.81,56.3
81627,Plissee_20,0.81,63.0
26533,Plissee_wa,0.81,58.4
16224,Plissee_wa,0.81,58.0
21910,Rollo,0.81,51.0
41967,Plissee_20,0.81,72.0
1838,Plissee_20,0.81,60.0
3030,Plissee_20,0.81,68.5
31743,Plissee_20,0.81,69.7
86481,Plissee_20,0.81,61.2
47311,Plissee_20,0.81,76.8
19006,Plissee_20,0.81,8.0
3633,Plissee_20,0.81,41.7
21310,Plissee_20,0.81,61.2
19830,Plissee_20,0.81,78.3
39498,Plissee_20,0.81,31.7
42219,Plissee_20,0.81,81.3
46317,Plissee_20,0.81,50.0
49941,Plissee_20,0.81,75.2
41288,Plissee_20,0.81,43.7
18591,Plissee_20,0.81,68.8
48330,Plissee_wa,0.81,25.3
21564,Rollo,0.81,69.4
21567,Plissee_20,0.81,53.0
36918,Reparatur,0.81,99.9
46881,Plissee_20,0.81,75.4
40056,Reparatur,0.81,99.9
28466,Plissee_20,0.81,71.2
42426,Plissee_20,0.81,69.0
61960,Plissee_20,0.81,53.7
86719,Plissee_20,0.81,49.7
60277,Plissee_20,0.81,60.2
75429,Plissee_20,0.81,64.0
61470,Plissee_20,0.81,68.2
4604,Plissee_20,0.81,71.7
13727,Plissee_20,0.81,71.7
3343,Plissee_20,0.81,71.6
23687,Plissee_20,0.81,66.1
75353,Plissee_20,0.81,33.7
68414,Plissee_wa,0.81,61.7
42879,Reparatur,0.81,99.9
51402,Plissee_20,0.81,71.7
